Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL
50559271,Home View,"",1,"May 27, 2013","Jun 2, 2013",feature,2,accepted,"May 25, 2013","May 27, 2013",,Kolby Sisk,Kolby Sisk,Home view html and css,http://www.pivotaltracker.com/story/show/50559271
50559283,Discover View,"",1,"May 27, 2013","Jun 2, 2013",feature,2,accepted,"May 25, 2013","May 27, 2013",,Kolby Sisk,Kolby Sisk,Discover view html and css,http://www.pivotaltracker.com/story/show/50559283
50559295,Login and Signup View,"",1,"May 27, 2013","Jun 2, 2013",feature,2,accepted,"May 25, 2013","May 28, 2013",,Kolby Sisk,Kolby Sisk,login and sign up view html and css,http://www.pivotaltracker.com/story/show/50559295
50559369,User can make an account and login. ,"",1,"May 27, 2013","Jun 2, 2013",feature,3,accepted,"May 25, 2013","May 28, 2013",,Kolby Sisk,Kolby Sisk,User will be able to create an account with an email address and then login. The account will be stored into the database using php and mysql.,http://www.pivotaltracker.com/story/show/50559369
50559287,Start View,"",1,"May 27, 2013","Jun 2, 2013",feature,3,accepted,"May 25, 2013","May 29, 2013",,Kolby Sisk,Kolby Sisk,Start view html and css,http://www.pivotaltracker.com/story/show/50559287
50559393,User can create a new party.,"",1,"May 27, 2013","Jun 2, 2013",feature,3,accepted,"May 25, 2013","May 30, 2013",,Kolby Sisk,Kolby Sisk,User will be able to walk through the wizard to set up a new party.,http://www.pivotaltracker.com/story/show/50559393
50808997,User can upload an image for their party.,"",1,"May 27, 2013","Jun 2, 2013",feature,2,accepted,"May 30, 2013","May 30, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/50808997
50559297,Profile View,"",2,"Jun 3, 2013","Jun 9, 2013",feature,2,accepted,"May 25, 2013","Jun 4, 2013",,Kolby Sisk,Kolby Sisk,Profile page view,http://www.pivotaltracker.com/story/show/50559297
51064423,Settings View,"",2,"Jun 3, 2013","Jun 9, 2013",feature,2,accepted,"Jun 4, 2013","Jun 8, 2013",,Kolby Sisk,Kolby Sisk,html and css of the settings view,http://www.pivotaltracker.com/story/show/51064423
51360061,Users can edit their profile.,"",2,"Jun 3, 2013","Jun 9, 2013",feature,2,accepted,"Jun 8, 2013","Jun 8, 2013",,Kolby Sisk,Kolby Sisk,"Backend for the first section of the settings view, allowing users to edit their profile information.",http://www.pivotaltracker.com/story/show/51360061
51361015,Simple Parallax Scrolling Functionality,"",2,"Jun 3, 2013","Jun 9, 2013",feature,1,accepted,"Jun 8, 2013","Jun 8, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/51361015
50559383,User can add profile image.,"",2,"Jun 3, 2013","Jun 9, 2013",feature,2,accepted,"May 25, 2013","Jun 9, 2013",,Kolby Sisk,Kolby Sisk,User can upload an image to user as his/her profile image.,http://www.pivotaltracker.com/story/show/50559383
50559291,Community View,"",3,"Jun 10, 2013","Jun 16, 2013",feature,2,accepted,"May 25, 2013","Jun 11, 2013",,Kolby Sisk,Kolby Sisk,Community view html and css.,http://www.pivotaltracker.com/story/show/50559291
51534467,Discover Page is populated with partys from the database,"",3,"Jun 10, 2013","Jun 16, 2013",feature,1,accepted,"Jun 11, 2013","Jun 11, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/51534467
50559315,Party View,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"May 25, 2013","Jun 18, 2013",,Kolby Sisk,Kolby Sisk,Party view html and css,http://www.pivotaltracker.com/story/show/50559315
50559375,User can login with Facebook,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"May 25, 2013","Jun 18, 2013",,Kolby Sisk,Kolby Sisk,Implement the Facebook api allowing users to login or sign up with Facebook.,http://www.pivotaltracker.com/story/show/50559375
51968391,User can login with Twitter,"",4,"Jun 17, 2013","Jun 23, 2013",feature,3,accepted,"Jun 19, 2013","Jun 19, 2013",,Kolby Sisk,Kolby Sisk,User will be able to sign up or login using twitter. Including communicating with Twitter's api and documentation.,http://www.pivotaltracker.com/story/show/51968391
51531441,User can go to another user's profile page.,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"Jun 11, 2013","Jun 19, 2013",,Kolby Sisk,Kolby Sisk,"Editing the profile page view from the perspective of another user. This includes adding a button to add the user as a friend, and populating the correct information depending on the user's id passed through the url.",http://www.pivotaltracker.com/story/show/51531441
51972801,User can add friends.,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"Jun 19, 2013","Jun 20, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/51972801
52037537,Community page people tab returns other users.,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"Jun 20, 2013","Jun 20, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52037537
51873419,Party Time,"",4,"Jun 17, 2013","Jun 23, 2013",feature,2,accepted,"Jun 18, 2013","Jun 21, 2013",,Kolby Sisk,Kolby Sisk,Party page will show a count down of the time until the party starts.,http://www.pivotaltracker.com/story/show/51873419
52168263,User can comment on profile's,"",5,"Jun 24, 2013","Jun 30, 2013",feature,2,accepted,"Jun 21, 2013","Jun 25, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52168263
52168259,User can comment on parties.,"",5,"Jun 24, 2013","Jun 30, 2013",feature,2,accepted,"Jun 21, 2013","Jun 26, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52168259
52381591,Activity feeds on user's profile.,"",5,"Jun 24, 2013","Jun 30, 2013",feature,3,accepted,"Jun 26, 2013","Jun 27, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52381591
50559405,User can edit their party and add updates.,"",6,"Jul 1, 2013","Jul 7, 2013",feature,3,accepted,"May 25, 2013","Jul 3, 2013",,Kolby Sisk,Kolby Sisk,User will be able to edit their party and include updates to the party. ,http://www.pivotaltracker.com/story/show/50559405
52827425,"User can delete their comments, updates, and parties.","",6,"Jul 1, 2013","Jul 7, 2013",feature,2,accepted,"Jul 3, 2013","Jul 3, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52827425
50559345,Set Up Database,"",6,"Jul 1, 2013","Jul 7, 2013",feature,3,accepted,"May 25, 2013","Jul 3, 2013",,Kolby Sisk,Kolby Sisk,Finish the structure of all the tables in the database then create it using mysql.,http://www.pivotaltracker.com/story/show/50559345
52106415,User can delete a friend.,"",6,"Jul 1, 2013","Jul 7, 2013",feature,1,accepted,"Jun 20, 2013","Jul 3, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52106415
52841559,"Timezones on comments and updates, ect","",6,"Jul 1, 2013","Jul 7, 2013",feature,2,accepted,"Jul 3, 2013","Jul 3, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52841559
52122449,Connect with people on social media for advertising.,"",6,"Jul 1, 2013","Jul 7, 2013",feature,1,accepted,"Jun 21, 2013","Jul 4, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52122449
52118111,"User Information: views, comments, hosted parties, ect ","",6,"Jul 1, 2013","Jul 7, 2013",feature,2,accepted,"Jun 21, 2013","Jul 6, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52118111
52964685,Tab Transitions Ajax,"",6,"Jul 1, 2013","Jul 7, 2013",feature,3,accepted,"Jul 7, 2013","Jul 7, 2013",,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52964685
52169167,Pagination and Load more ajax.,"",7,"Jul 8, 2013","Jul 14, 2013",feature,3,started,"Jun 21, 2013",,,Kolby Sisk,Kolby Sisk,,http://www.pivotaltracker.com/story/show/52169167
50559443,Users will be able to search for parties with the search bar.,"",7,"Jul 8, 2013","Jul 14, 2013",feature,2,started,"May 25, 2013",,,Kolby Sisk,Kolby Sisk,"User will be able to search for a party by city, host name, or party name.",http://www.pivotaltracker.com/story/show/50559443
50559457,Users can search for people and go to their profile.,"",7,"Jul 8, 2013","Jul 14, 2013",feature,3,started,"May 25, 2013",,,Kolby Sisk,Kolby Sisk,"User can search for people on the community page and go to their profile page. Including filtering users, loading more with ajax, and searching by name.",http://www.pivotaltracker.com/story/show/50559457
51879839,Front End Validation,"",7,"Jul 8, 2013","Jul 14, 2013",feature,3,started,"Jun 18, 2013",,,Kolby Sisk,Kolby Sisk,Detailed front end validation including appropriate drop downs and input suggestions.,http://www.pivotaltracker.com/story/show/51879839
53195965,Finish Party Review Page,"",,,,feature,2,unscheduled,"Jul 10, 2013",,,Kolby Sisk,,,http://www.pivotaltracker.com/story/show/53195965
52122431,Design advertisements for google adds.,"",,,,feature,2,unscheduled,"Jun 21, 2013",,,Kolby Sisk,,,http://www.pivotaltracker.com/story/show/52122431
52122391,Make flyers for advertising.,"",,,,feature,2,unscheduled,"Jun 21, 2013",,,Kolby Sisk,,,http://www.pivotaltracker.com/story/show/52122391
52381515,User can share his party via facebook and twitter,"",,,,feature,3,unscheduled,"Jun 26, 2013",,,Kolby Sisk,,,http://www.pivotaltracker.com/story/show/52381515
52381463,pop-up confirming user is over 21,"",,,,feature,2,unscheduled,"Jun 26, 2013",,,Kolby Sisk,,,http://www.pivotaltracker.com/story/show/52381463
52491927,Badge system,"",,,,feature,3,unscheduled,"Jun 27, 2013",,,Kolby Sisk,,"Badge system, including getting a few badges design and user will be able to receive them and they will show up on profile page.",http://www.pivotaltracker.com/story/show/52491927
50559461,User can pitch in for a party.,"",,,,feature,3,unscheduled,"May 25, 2013",,,Kolby Sisk,,User can pitch in for a party using Amazon payments.,http://www.pivotaltracker.com/story/show/50559461
51064481,Settings Functionality,"",,,,feature,2,unscheduled,"Jun 4, 2013",,,Kolby Sisk,Kolby Sisk,"Backend for the settings page. User will be able to edit their profile, account settings, services, and subscriptions.",http://www.pivotaltracker.com/story/show/51064481
